PatientIDs,CTmax,CTmin,PTmax,PTmin,CTSizeX,CTSizeY,CTSizeZ,PTSizeX,PTSizeY,PTSizeZ,GTSizeX,GTSizeY,GTSizeZ,CTSpacingX,CTSpacingY,CTSpacingZ,PTSpacingX,PTSpacingY,PTSpacingZ,GTSpacingX,GTSpacingY,GTSpacingZ
CHUM-002,868.96533,-3024.0,16.68071,0.0,128,128,91,128,128,91,128,128,91,3.515625,3.515625,3.2702222,3.515625,3.515625,3.2702222,3.515625,3.515625,3.2702222
CHUM-006,794.1692,-1000.0,6.081012,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-007,1030.0626,-1024.0,11.08188,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-008,769.5343,-1024.0,13.387543,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-010,859.4343,-1024.0,1.1985267,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,3.9999998,4.0,4.0,3.9999998,4.0,4.0,3.9999998
CHUM-011,882.6283,-1024.0,15.036657,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,3.9999998,4.0,4.0,3.9999998,4.0,4.0,3.9999998
CHUM-012,1373.7194,-1024.0,13.465934,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-014,1034.8257,-1024.0,14.060075,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,3.9999998,4.0,4.0,3.9999998,4.0,4.0,3.9999998
CHUM-015,977.58075,-1024.0,12.115977,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-016,863.60254,-1024.0,13.234973,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
