,ImageID,Int1,Uni1,Int2,Uni2
0,CHUM-001_024_ax_fg,0,0,0,12
1,CHUM-001_025_ax_fg,0,9,0,24
2,CHUM-001_026_ax_fg,5,20,2,32
3,CHUM-001_027_ax_fg,11,30,0,32
4,CHUM-001_028_ax_fg,12,29,4,38
5,CHUM-001_029_ax_fg,11,33,8,44
6,CHUM-001_030_ax_fg,14,39,3,37
7,CHUM-001_031_ax_fg,12,36,5,34
8,CHUM-001_032_ax_fg,11,35,7,35
9,CHUM-001_033_ax_fg,13,36,9,30
10,CHUM-001_034_ax_fg,9,26,8,25
11,CHUM-001_035_ax_fg,8,21,4,15
12,CHUM-001_036_ax_fg,0,2,0,10
13,CHUM-001_037_ax_fg,0,1,0,0
14,CHUM-013_226_ax_fg,0,0,0,3
15,CHUM-013_227_ax_fg,0,5,0,7
16,CHUM-013_228_ax_fg,0,6,0,12
17,CHUM-013_229_ax_fg,0,6,4,18
18,CHUM-013_230_ax_fg,1,8,9,26
19,CHUM-013_231_ax_fg,0,7,8,22
20,CHUM-013_232_ax_fg,0,19,1,23
21,CHUM-013_233_ax_fg,0,9,5,34
22,CHUM-013_234_ax_fg,0,0,9,35
23,CHUM-013_235_ax_fg,0,0,6,32
24,CHUM-013_236_ax_fg,0,0,4,27
25,CHUM-013_237_ax_fg,0,0,5,27
26,CHUM-013_238_ax_fg,0,0,3,22
27,CHUM-013_239_ax_fg,0,0,0,15
28,CHUM-013_240_ax_fg,0,0,0,6
29,CHUM-013_241_ax_fg,0,0,0,6
30,CHUM-017_045_ax_fg,0,0,0,1
31,CHUM-017_046_ax_fg,0,0,6,16
32,CHUM-017_047_ax_fg,0,0,8,21
33,CHUM-017_048_ax_fg,0,0,8,26
34,CHUM-017_049_ax_fg,0,0,5,28
35,CHUM-017_050_ax_fg,0,0,1,24
36,CHUM-017_051_ax_fg,0,0,0,21
37,CHUM-017_052_ax_fg,0,0,2,31
38,CHUM-017_053_ax_fg,0,0,12,48
39,CHUM-017_054_ax_fg,0,0,16,43
40,CHUM-017_055_ax_fg,0,0,19,45
41,CHUM-017_056_ax_fg,0,0,19,46
42,CHUM-017_057_ax_fg,0,0,20,52
43,CHUM-017_058_ax_fg,0,0,18,43
44,CHUM-017_059_ax_fg,0,0,11,35
45,CHUM-017_060_ax_fg,0,14,5,26
46,CHUM-017_061_ax_fg,17,52,3,15
47,CHUM-017_062_ax_fg,35,84,0,11
48,CHUM-017_063_ax_fg,46,115,0,12
49,CHUM-017_064_ax_fg,59,137,0,11
50,CHUM-017_065_ax_fg,69,150,0,3
51,CHUM-017_066_ax_fg,69,154,0,0
